experimento	fecha	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
HT8312	20220512 061358	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.10395979461816	0.586252486995384	71	2012	72	0.0555643365938554	11180	14500000	24
HT8312	20220512 061650	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0611383559064036	0.583362762302814	449	3961	455	0.053656943708408	10040	13480000	25
HT8312	20220512 061723	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0653697693508985	0.101004909517686	287	119	85	0.0498193874512195	9300	13380000	26
HT8312	20220512 061845	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0680116719358886	0.557072884169422	187	2467	73	0.0490612434247616	13054	14306000	27
HT8312	20220512 062019	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0874086675328769	0.568251326865945	101	5532	166	0.0759881444949208	8848	14072000	28
HT8312	20220512 062243	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0846507947957282	0.734529905235562	118	2433	165	0.0556532270963103	10084	13916000	29
HT8312	20220512 062423	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0844926095766752	0.593660435316426	222	1261	69	0.0762262091857442	8918	14362000	30
HT8312	20220512 062540	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.116935270551475	0.581608220492206	271	3014	72	0.0539657739608493	11612	14428000	31
HT8312	20220512 062715	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0845332279601526	0.623357710697114	31	2887	115	0.0629672098701189	10330	14510000	32
HT8312	20220512 062837	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0906289254597478	0.580960571599786	146	2837	82	0.0673119115325022	9802	14678000	33
