Feature	Gain	Cover	Frequency
Visa_status	0.132510754242587	0.00663404799625739	0.000929800092980009
mcuenta_corriente_lag1	0.0551920052998526	0.0106150939044981	0.00609535616509117
ctarjeta_visa_trx	0.0471545087202573	0.00547338948819206	0.0088847564440312
cpayroll_trx	0.0358270230637043	0.00514087395572024	0.00147218348055168
mrentabilidad	0.0267095230449261	0.00377366557488765	0.0046748282452606
Visa_msaldototal	0.0245804126911636	0.00525234175252454	0.00656025621158118
mrentabilidad_avg6	0.0242725687092107	0.00504873172007646	0.00565628389896172
mcuenta_corriente_delta1	0.0210818608971025	0.00488719310642259	0.00472648380598171
Visa_status_tend6	0.0205917187725066	0.00283951506853479	0.00116225011622501
mcomisiones_mantenimiento	0.0131407557375637	0.00402856774766687	0.00302185030218503
mprestamos_personales	0.012619054786662	0.00459272123429025	0.00142052791983057
mpayroll	0.00941046044454011	0.00629091369360386	0.00343509478795392
ctrx_quarter	0.00829765118540764	0.0161865835800056	0.00924634536907898
mcuentas_saldo	0.00827792695859322	0.00963698264459803	0.00821323415465675
ctrx_quarter_avg6	0.00652160395502286	0.00578791006706912	0.00826488971537786
mprestamos_personales_tend6	0.00602614162445346	0.00595034510557586	0.00162715016271502
mautoservicio	0.00601494269594609	0.0043715302478637	0.00312516142362725
mcuenta_corriente_avg6	0.00554999411641888	0.00650708105805162	0.00606952838473062
mactivos_margen	0.00544910408971055	0.00518831161686532	0.00808409525285397
mrentabilidad_annual_delta1	0.00518008730487835	0.00391603123128238	0.00769667854744563
mtransferencias_recibidas	0.00498894889027472	0.00517362964474212	0.00428741153985227
mactivos_margen_lag1	0.00477155647520154	0.003465714347829	0.00697350069735007
mcomisiones_otras	0.00461222775738406	0.00253395972272755	0.00477813936670283
mcaja_ahorro	0.00457201141585461	0.00499953173000596	0.0084198563975412
mcuenta_corriente_tend6	0.00452424986474716	0.00370600051275206	0.00498476160958727
cliente_edad_avg6	0.00414181759393867	0.0036550598536647	0.00501058938994783
Visa_Fvencimiento_lag1	0.00412269330554837	0.0041811686954073	0.00609535616509117
mrentabilidad_annual_tend6	0.00406898241505715	0.003668453553498	0.00656025621158118
mrentabilidad_annual_lag1	0.00388496572988252	0.0040591328322982	0.00702515625807118
cliente_edad_lag1	0.0038478053409796	0.00374731728064048	0.00568211167932228
Visa_Fvencimiento	0.00376611220952124	0.00493612431671843	0.00575959502040395
foto_mes	0.00371537942763546	0.00412103192831547	0.00382251149336226
mtarjeta_visa_consumo	0.00369404741957965	0.00411127856993569	0.00945296761196343
ctrx_quarter_lag1	0.00366729280042004	0.00429438257620559	0.0077741618885273
ctrx_quarter_delta1	0.0036658508654492	0.00323433631258041	0.0057854228007645
mrentabilidad_tend6	0.00361192669745252	0.00278637199056129	0.00482979492742394
ctrx_quarter_tend6	0.0035590051352787	0.00309393629288939	0.00387416705408337
ctarjeta_visa_delta1	0.00355074820662659	0.0013621320858943	0.000206622242884447
Visa_mfinanciacion_limite	0.00346558451815965	0.00239476724293991	0.00441655044165504
mcomisiones_otras_tend6	0.00345930044931385	0.00177802694417704	0.00382251149336226
Visa_mpagospesos_tend6	0.00345549346511138	0.00211434034471023	0.00304767808254559
mcaja_ahorro_tend6	0.00336211909342927	0.00267504547543342	0.00364171703083837
mcuentas_saldo_avg6	0.00335434661814667	0.00422306092768505	0.00418410041841004
mdescubierto_preacordado_delta1	0.00333412240212726	0.00402104535987091	0.000490727826850561
mes	0.0033295443484959	0.00163597387964479	0.00196291130740224
Master_fechaalta_lag1	0.00327294963619924	0.00398832363752385	0.00539800609535617
mpasivos_margen	0.00326170174911885	0.0071977589315668	0.00792912857069063
Visa_Fvencimiento_avg6	0.00324292103791249	0.00378137207190655	0.0049072782685056
Master_Fvencimiento_avg6	0.0031394464926527	0.00370784800449987	0.00586290614184617
cliente_edad	0.00307310605066504	0.0042406714179025	0.00537217831499561
numero_de_cliente	0.00304218292213501	0.00308302412940054	0.00436489488093393
Visa_mpagominimo	0.00300998467653473	0.00450289119388746	0.00658608399194173
mrentabilidad_annual	0.00300884921298614	0.00255397593960941	0.00410661707732838
ctransferencias_recibidas_avg6	0.00292070494044946	0.00374799661413687	0.00581125058112506
mcuenta_corriente	0.00287089555384407	0.00442218588224497	0.00374502815228059
Visa_fechaalta_avg6	0.00285845800135093	0.00241308020337427	0.00439072266129449
ccomisiones_otras_tend6	0.00282867183215779	0.00313445558232551	0.00400330595588615
cliente_antiguedad_lag1	0.00279312633273374	0.00323770245928212	0.00472648380598171
mcaja_ahorro_dolares_delta1	0.00278267560733081	0.00418290296490571	0.00273774471821892
Visa_fechaalta	0.00275379966431391	0.00268438828009146	0.00542383387571672
mcomisiones_tend6	0.0027491030601649	0.00217658993742998	0.00340926700759337
mcaja_ahorro_lag1	0.00274897944407303	0.00632737716515824	0.00699932847771063
Master_Fvencimiento_lag1	0.00274677204441658	0.00225730607902677	0.0044423782220156
Visa_mpagominimo_avg6	0.00273743785404356	0.0027895673193476	0.00364171703083837
mcaja_ahorro_avg6	0.00273000825469059	0.00411210263100305	0.00547548943643783
Visa_cconsumos_avg6	0.00272673675307658	0.00213846012972683	0.00389999483444393
mcomisiones_avg6	0.00272341161927974	0.0029761088515634	0.00410661707732838
mactivos_margen_avg6	0.00269035651499504	0.00516614516178617	0.00617283950617284
Visa_fechaalta_lag1	0.00265773945802402	0.00395227613466835	0.00526886719355339
Master_fultimo_cierre_avg6	0.00262468345592281	0.0032297882240491	0.00415827263804949
Master_fechaalta_avg6	0.00261647657263562	0.00256693250310589	0.00550131721679839
mcuentas_saldo_tend6	0.00259643898458422	0.00255029572423328	0.00495893382922672
mpasivos_margen_tend6	0.00256428472950856	0.0013765895826013	0.0024536391342528
Visa_fultimo_cierre	0.00251506218875537	0.00476951925353926	0.00431323932021282
ctarjeta_visa_trx_tend6	0.00249907361879196	0.00294538328670031	0.00369337259155948
Master_fechaalta	0.00248279470882772	0.00299673646859201	0.00495893382922672
mcuentas_saldo_delta1	0.00245808957380562	0.00303588133837455	0.00459734490417894
Master_Fvencimiento	0.00242301908251595	0.00272344404888644	0.0050880727310295
