Feature	Gain	Cover	Frequency
Visa_status_avg6	0.112080269027645	0.00534712570743617	0.00275735294117647
mcaja_ahorro	0.0685777242219475	0.00493161375711715	0.00444240196078431
ctrx_quarter_avg6	0.0591359152760867	0.00177486732193802	0.00260416666666667
varnueva_02	0.0368637829180574	0.00654043792615871	0.00635723039215686
varnueva_05	0.0266577685793866	0.00377631911655501	0.00222120098039216
cpayroll_trx	0.0207307101138688	0.00364894141880958	0.00076593137254902
varnueva_01	0.0142105742037342	0.00458432188584511	0.00145526960784314
ctrx_quarter_normalizado	0.0129940156049788	0.00598785357579559	0.00183823529411765
ctrx_quarter_normalizado_lag1	0.0123738436547404	0.00226531508979284	0.00222120098039216
mtarjeta_visa_consumo	0.010105797752868	0.00269229289934191	0.00130208333333333
mprestamos_personales	0.00887989325003721	0.00424555013445434	0.00160845588235294
mprestamos_personales_tend6	0.0088490105723827	0.00287439275023459	0.00137867647058824
foto_mes	0.00829186526199058	0.00425690703699592	0.00528492647058824
mdescubierto_preacordado_delta1	0.00782630976585907	0.00358813576912365	0.000995710784313725
Visa_mfinanciacion_limite_lag1	0.00756125118796251	0.000915239603304293	0.00214460784313726
mpasivos_margen	0.00656291428527077	0.00407879118986009	0.00321691176470588
mpayroll	0.00651520784049422	0.00628814309516618	0.00160845588235294
ctarjeta_visa_trx	0.00645339660666054	0.00148948825665716	0.00153186274509804
mv_status01_avg6	0.00569250568353046	0.00157259436004308	0.00122549019607843
mpayroll_sobre_edad_lag1	0.00523899644025439	0.00214179533829023	0.00114889705882353
mactivos_margen	0.00521055066744467	0.00205166519296068	0.00337009803921569
mdescubierto_preacordado_avg6	0.00515954918947046	0.00124853176159561	0.00114889705882353
mdescubierto_preacordado_tend6	0.00511282677893023	0.00423946224056051	0.00137867647058824
mcomisiones_tend6	0.00502312330442108	0.00108909050454934	0.00337009803921569
Visa_msaldototal	0.00436722292200892	0.00229962960633034	0.00199142156862745
mprestamos_personales_lag1	0.00415876341160406	0.000405438586883307	0.000689338235294118
varnueva_06_tend6	0.00411946326924439	0.00338518219437204	0.00168504901960784
ctrx_quarter_tend6	0.00396155874401601	0.00212696941113821	0.0038296568627451
mcuentas_saldo	0.00386337595584575	0.00460914642139547	0.00520833333333333
cliente_edad_lag1	0.00359692584609905	0.00408416915519631	0.00712316176470588
mv_mpagominimo_avg6	0.00356675995432206	0.00176330667527496	0.00130208333333333
cprestamos_personales	0.0035647805352714	0.00135948191772803	0.00076593137254902
mcomisiones_mantenimiento_tend6	0.00342460597428283	0.00621099296501988	0.00543811274509804
varnueva_06	0.00341271792237765	0.00344143413851298	0.00130208333333333
varnueva_03	0.00336241749774489	0.00286950728867404	0.00390625
mcuenta_corriente_tend6	0.00334261800895093	0.00381312351329179	0.00482536764705882
mv_msaldototal	0.00306162564955727	0.000657189123028512	0.00076593137254902
mcuenta_corriente_avg6	0.00303936498511849	0.00397322974815423	0.00620404411764706
varnueva_03_lag1	0.00301164374529563	0.00178900628449818	0.00321691176470588
