Feature	Gain	Cover	Frequency
ctrx_quarter_lag1	0.108723351808538	0.013403606357533	0.00882802724871403
cproductos_tend6	0.0752841111956279	0.0174295522133984	0.00389267343250382
Visa_status_delta1	0.0393750473369834	0.00308442568168952	0.00125121646044766
mtarjeta_visa_consumo	0.033854397252752	0.00639280241577809	0.00430974558598638
mpasivos_margen_lag1	0.0327590155711122	0.00405582843367242	0.00396218545808425
mcaja_ahorro_avg6	0.0215142123209726	0.00726446721326219	0.0076463228138468
Visa_msaldototal	0.0211331606947725	0.00563929758076928	0.0043792576115668
cpayroll_trx	0.0184134163943356	0.00767222616047675	0.00090365633254553
mdescubierto_preacordado_delta1	0.0174715250470835	0.00179986707650338	0.000417072153482552
ctarjeta_visa_trx	0.0171469871288451	0.00940431706743186	0.00618657027665786
mpayroll	0.0144793923592058	0.0137545776867815	0.00368413735576255
mcomisiones_tend6	0.0139698996932754	0.00320424435617856	0.00563047407201446
mpasivos_margen	0.0130295359806799	0.0038491126954845	0.00215487279299319
cprestamos_personales	0.0129291078314012	0.000954119238725279	0.00076463228138468
Master_fechaalta	0.0124837004481912	0.00245906133585201	0.0043792576115668
mcuentas_saldo	0.0120059208834086	0.0129460602883463	0.0087585152231336
mcuenta_corriente	0.0113507340067494	0.00325633755321996	0.00611705825107744
mcaja_ahorro_delta1	0.0100969828132836	0.0065954619548983	0.00674266648130127
mprestamos_personales	0.00884185241778054	0.00976178197166804	0.00271096899763659
mdescubierto_preacordado_tend6	0.00869621705285414	0.00558099418589279	0.00076463228138468
foto_mes	0.00859996566494926	0.00818531664463731	0.00806339496732935
ctrx_quarter	0.0078533930427015	0.00457242498295626	0.0035451133046017
Master_status	0.00770804259315452	0.0011924111694918	0.000834144306965105
ctarjeta_debito_trx_avg6	0.0074074379801491	0.00350151114440029	0.00319755317669957
mpayroll_delta1	0.00715173115472793	0.0115264138831496	0.00472681773946893
mdescubierto_preacordado	0.0070539199777029	0.00197862736772591	0.000556096204643403
cpayroll_trx_lag1	0.0068097358816635	0.00575522210470898	0.00076463228138468
ctrx_quarter_delta1	0.00650374782007949	0.00418572320193243	0.00681217850688169
mcaja_ahorro	0.0060497491811932	0.00795244212049288	0.0090365633254553
mprestamos_personales_tend6	0.00599192950770301	0.00763518685528369	0.00118170443486723
Visa_mpagominimo	0.00568260501683889	0.00785946782184579	0.00569998609759488
cliente_edad_avg6	0.00555975870021808	0.0115553225078103	0.011608508271931
mcuentas_saldo_lag1	0.00517847116040149	0.00559867243272081	0.00681217850688169
mcuentas_saldo_tend6	0.00495294519055485	0.00256374800279668	0.00312804115111914
mprestamos_personales_avg6	0.00453026311863955	0.00204961625302828	0.00187682469067149
mcuenta_corriente_tend6	0.0038260966930386	0.00546640676998422	0.00695120255804254
cliente_edad_lag1	0.00363542735193304	0.00543279209014623	0.00674266648130127
mcaja_ahorro_dolares_delta1	0.00334475594505935	0.0072079721136472	0.0049353538162102
mactivos_margen_avg6	0.00326786559975544	0.00461846670660877	0.0043792576115668
Visa_Finiciomora	0.00326605189509189	0.00810268021044472	0.00125121646044766
mactivos_margen_tend6	0.00326516090841031	0.00431223157166735	0.00458779368830808
mcomisiones_otras_avg6	0.00323426353823085	0.0034066396315611	0.00583901014875574
mcuentas_saldo_delta1	0.0031251536109027	0.00336626960605183	0.00521340191853191
Visa_Fvencimiento_lag1	0.00304202149750696	0.00220391802121022	0.00674266648130127
mactivos_margen_delta1	0.00300019948792741	0.00319955575238015	0.00625608230223829
mrentabilidad_annual_lag1	0.00297225208433216	0.00341438139564938	0.00556096204643403
Visa_fechaalta_lag1	0.00293132069841397	0.003789977451547	0.00688169053246212
mrentabilidad_annual_tend6	0.00290227939121683	0.00312520290603985	0.00653413040455999
mtarjeta_visa_consumo_tend6	0.00286814162152794	0.00167853262510397	0.00284999304879744
ctrx_quarter_tend6	0.00284730711828671	0.00325332345077812	0.00646461837897956
mprestamos_personales_lag1	0.00281972943201376	0.00425029413488897	0.00194633671625191
mcomisiones_mantenimiento	0.00278723810593411	0.00454789997847223	0.00250243292089532
Visa_Fvencimiento_tend6	0.00270975300998465	0.0061331391940006	0.00486584179062978
ccomisiones_mantenimiento_tend6	0.00266595036347887	0.00709086255797823	0.00152926456276936
Master_fechaalta_avg6	0.0026317393726311	0.00372099630583644	0.0079243709161685
Master_Fvencimiento_lag1	0.00257507088442059	0.00219591282440232	0.00688169053246212
ccomisiones_mantenimiento	0.0025062224709191	0.00354445898787884	0.000834144306965105
