Feature	Gain	Cover	Frequency
mdescubierto_preacordado_avg6	0.211638953263095	0.00729773686279683	0.00254414845854535
mdescubierto_preacordado_tend6	0.19945635205135	0.0197407214897276	0.00583657587548638
ctrx_quarter	0.102479559575117	0.0227311599030127	0.0106255612092188
mdescubierto_preacordado	0.0875033896346372	0.00308926367505216	0.00194552529182879
mcuentas_saldo	0.047332509348134	0.0138770730210289	0.0161628255013469
cpayroll_trx	0.0225550450548316	0.0104469297912258	0.00269380425022448
mcaja_ahorro	0.0152227711114157	0.00961306362098347	0.00838072433403173
mprestamos_personales_tend6	0.0108597605785362	0.00781745064938251	0.00389105058365759
mtarjeta_visa_consumo	0.00893434867365741	0.00931956874675883	0.00763244537563604
mprestamos_personales	0.00772518403705284	0.00988089496222441	0.00299311583358276
Visa_msaldototal	0.00708936684034937	0.00336153232832571	0.00359173900029931
foto_mes	0.00653931544674607	0.0130684696748556	0.00927865908410656
mtarjeta_visa_consumo_tend6	0.0061227156051139	0.000629366135118383	0.00269380425022448
mpayroll	0.00502148067749701	0.0115563974231652	0.00374139479197845
mcuentas_saldo_tend6	0.00469662736398959	0.00273539343242675	0.00673451062556121
mactivos_margen	0.004095139019667	0.00689889754466055	0.00793175695899431
mcuenta_corriente	0.00400372993002312	0.00260895898589196	0.00478898533373242
ctarjeta_visa_trx	0.00396496944808282	0.00628515338145131	0.00658485483388207
tcallcenter_tend6	0.00359798692132968	0.0039863408252218	0.00239449266686621
mpayroll_lag1	0.00327117583853578	0.00499631232012909	0.00478898533373242
cproductos_delta1	0.00302027017427088	0.00346244967657932	0.000897934750074828
cproductos_tend6	0.00297390293809915	0.00629536635058853	0.00329242741694104
mcuenta_corriente_avg6	0.00274317230757122	0.00433652863238193	0.00733313379227776
mpasivos_margen	0.00237754544016376	0.00377388223428807	0.00583657587548638
mrentabilidad_annual_delta1	0.00235989492031104	0.00384726531785428	0.00673451062556121
cliente_edad_avg6	0.00219414408973875	0.00687563713001224	0.00882969170906914
mtransferencias_emitidas_avg6	0.00209389221025243	0.00355544706421601	0.00419036216701586
ccomisiones_mantenimiento_tend6	0.00200995679223099	0.00277278649859874	0.00284346004190362
ctarjeta_master	0.0019967254675463	0.00128991151034927	0.000448967375037414
Master_fechaalta_tend6	0.00193696032688662	0.000990703412420317	0.00209518108350793
mcaja_ahorro_dolares_delta1	0.00193195301857956	0.00686796690299654	0.00419036216701586
mcomisiones_mantenimiento_tend6	0.00188222370233804	0.00670440728633471	0.00493864112541155
mcomisiones_mantenimiento_avg6	0.0018658809389899	0.00225518409609611	0.00239449266686621
mactivos_margen_avg6	0.00178161946391907	0.00458475021016331	0.00583657587548638
Visa_Finiciomora	0.00176853404156646	0.00732587275843263	0.00134690212511224
