Feature	Gain	Cover	Frequency
ctrx_quarter	0.113159666909039	0.0123479138570166	0.00459558823529412
ctarjeta_visa_tend6	0.110022649895086	0.00614332341012122	0.00130208333333333
mdescubierto_preacordado	0.0672579871410935	0.00226206303991088	0.00160845588235294
mcuenta_corriente	0.0397979737996036	0.00428302558654122	0.00689338235294118
mprestamos_personales	0.0186379373721649	0.00947672303145255	0.00306372549019608
cpayroll_trx	0.0172394508861739	0.00554908314222813	0.000689338235294118
mprestamos_personales_tend6	0.0168502027734882	0.00638827289930292	0.00359987745098039
ctarjeta_visa_avg6	0.016762459915662	0.00220694048167448	0.000459558823529412
mpayroll	0.0142273629268254	0.00851638544932223	0.00222120098039216
Visa_msaldototal_avg6	0.0135729845257781	0.00324010447826556	0.00344669117647059
mcuentas_saldo	0.0114188631669626	0.00977544600032711	0.00742953431372549
Master_status	0.00991630149136023	0.000766399082949874	0.000306372549019608
Visa_msaldototal	0.00936490872578245	0.00250650263363458	0.00344669117647059
mpayroll_lag1	0.00877425045745699	0.00289701440955367	0.00145526960784314
foto_mes	0.00865538566580122	0.0053065506528249	0.00742953431372549
mcaja_ahorro	0.00754304692554162	0.00528661088119033	0.00451899509803922
mcaja_ahorro_lag1	0.00637998067827392	0.00353976003163666	0.00291053921568627
mrentabilidad_avg6	0.00594872937748749	0.00485021613865644	0.00528492647058824
mpasivos_margen	0.00564352446571758	0.00412811267487222	0.0037530637254902
mdescubierto_preacordado_tend6	0.00494178797949486	0.00477150686491626	0.00183823529411765
Visa_msaldopesos_avg6	0.00485006595149549	0.00271509657666106	0.00222120098039216
cliente_edad_avg6	0.00439968490459606	0.00639012996715322	0.00972732843137255
mdescubierto_preacordado_avg6	0.0043601929699452	0.00275859399499293	0.00206801470588235
Visa_mpagominimo	0.00420671991473977	0.00360074972340471	0.00444240196078431
Visa_status_tend6	0.0040576705918821	0.00187095606826558	0.000995710784313725
mactivos_margen_tend6	0.00403345422759023	0.00335370775669397	0.00612745098039216
Master_fechaalta	0.00382515272728466	0.00268691317743033	0.00528492647058824
numero_de_cliente	0.00376699226727039	0.00500169940769815	0.00842524509803921
mprestamos_personales_avg6	0.00372920461968661	0.00284821407845863	0.00260416666666667
ctrx_quarter_delta1	0.00365880929733758	0.00431018919485596	0.00719975490196078
mtarjeta_visa_consumo	0.00364473235322139	0.0027065088887652	0.00291053921568627
ctarjeta_visa_trx	0.00364273851857774	0.00440356820857651	0.00329350490196078
mactivos_margen	0.00359887978917008	0.0036485664804574	0.0037530637254902
mcuenta_corriente_avg6	0.00358951802441385	0.00543943465109497	0.0079656862745098
cprestamos_personales	0.00355228322978025	0.000907538622261396	0.000612745098039216
cliente_edad_lag1	0.00352764384568366	0.0040177989369546	0.00704656862745098
mcuenta_corriente_tend6	0.00348888113002394	0.00402978481598222	0.00589767156862745
mcomisiones_otras_avg6	0.0034488072486082	0.00274460665715822	0.00513174019607843
mtarjeta_visa_debitos_automaticos_tend6	0.0034244211691681	0.0036858517518823	0.00306372549019608
ctrx_quarter_tend6	0.00336805702666384	0.00327337348901756	0.00628063725490196
mcaja_ahorro_dolares_delta1	0.00328905836831359	0.00523425653109926	0.00367647058823529
Visa_fultimo_cierre_avg6	0.00309522508029736	0.00309139322967168	0.00674019607843137
Visa_mpagominimo_lag1	0.00308156424533424	0.00149332272669452	0.00367647058823529
mcuentas_saldo_tend6	0.00305585845390687	0.00243062161180395	0.00474877450980392
mrentabilidad_annual	0.00304091261672553	0.00229273396651614	0.00513174019607843
cliente_edad	0.00302895548088944	0.0049592017656942	0.00735294117647059
cpayroll_trx_lag1	0.0029356661792121	0.00229225409294025	0.000612745098039216
Visa_fechaalta_avg6	0.002909798868562	0.00195234110181572	0.00513174019607843
mcaja_ahorro_delta1	0.0029008788334203	0.00473608485633321	0.00413602941176471
Master_Fvencimiento_lag1	0.00272579887077674	0.00129534175726155	0.00635723039215686
mrentabilidad_annual_tend6	0.00271949484750838	0.00477789866657806	0.00651041666666667
Visa_msaldopesos_delta1	0.00271824959823291	0.00116995894067778	0.00245098039215686
mrentabilidad_annual_delta1	0.00268836824170625	0.00414122699543679	0.00674019607843137
mcomisiones_otras_tend6	0.00268598707419562	0.00182738478657298	0.00451899509803922
ccomisiones_mantenimiento_delta1	0.00265677267728968	0.00138130155379933	0.00076593137254902
Master_Fvencimiento_avg6	0.00265143166010733	0.00231493109776243	0.00635723039215686
Visa_mpagominimo_avg6	0.00265021187580672	0.00353857535863798	0.0039828431372549
mcuentas_saldo_delta1	0.00263305427488009	0.00443840407565177	0.00628063725490196
Master_fechaalta_tend6	0.00263180589047055	0.00177288029787772	0.00183823529411765
cproductos_tend6	0.0026186524822005	0.00308645534487189	0.00260416666666667
mcaja_ahorro_avg6	0.00261696587143883	0.00313420538663102	0.00490196078431373
Master_fultimo_cierre_avg6	0.00260320640348634	0.00496352682286877	0.00528492647058824
Visa_Fvencimiento_avg6	0.00260313226895571	0.00248623166822122	0.00628063725490196
Visa_Fvencimiento	0.00256555660306035	0.00251212816249595	0.00589767156862745
mactivos_margen_avg6	0.00256357518767752	0.00312898205568232	0.00390625
mes	0.00254911659179326	0.00315744613568386	0.00421262254901961
mrentabilidad_annual_lag1	0.00254908456524338	0.00327316190622938	0.00589767156862745
mcuentas_saldo_lag1	0.00254480232692067	0.0042254116886278	0.00543811274509804
Visa_fechaalta	0.0025365362485008	0.00149754723439092	0.00543811274509804
mpasivos_margen_lag1	0.00253220422374106	0.00164192770735649	0.00482536764705882
Visa_Finiciomora	0.00251820896191291	0.00478064209475721	0.00137867647058824
mcomisiones_mantenimiento_tend6	0.00250557599655053	0.00411478724805728	0.0040594362745098
ccallcenter_trx_tend6	0.00248051345211721	0.00238190753405274	0.00260416666666667
Master_fechaalta_avg6	0.00247241778372108	0.00171745847389588	0.00551470588235294
mcuenta_corriente_lag1	0.00247083100190492	0.00261223731972425	0.00474877450980392
mcomisiones_otras	0.00244478593464339	0.00129014368281684	0.00329350490196078
mrentabilidad_annual_avg6	0.00233766733125428	0.00426394072373996	0.00551470588235294
mtransferencias_recibidas	0.00230435200608945	0.00334636144979632	0.00329350490196078
mactivos_margen_delta1	0.00229107059077072	0.00304267676923141	0.00428921568627451
Visa_fechaalta_lag1	0.00225149592701169	0.00143739338994373	0.00513174019607843
ccomisiones_mantenimiento_tend6	0.00224756511542107	0.00443142994478467	0.00206801470588235
chomebanking_trx_avg6	0.00223683291645302	0.00283758966795765	0.00428921568627451
Master_Fvencimiento	0.00223489823554516	0.00136629251889738	0.00474877450980392
ctarjeta_visa_trx_tend6	0.00219666592294852	0.00337309569754316	0.00337009803921569
cproductos_avg6	0.00218288525105021	0.0016466540093681	0.00474877450980392
chomebanking_trx_tend6	0.0021679390713477	0.00136991420626259	0.0039828431372549
mcomisiones_lag1	0.00214850751613733	0.00148835005463451	0.00520833333333333
Visa_mconsumospesos_avg6	0.0021292632831389	0.00246287607355588	0.00482536764705882
tcallcenter_tend6	0.00210691642485726	0.00338623098577142	0.00237438725490196
cliente_antiguedad_avg6	0.00210099592534175	0.00259778774021266	0.00505514705882353
mcuentas_saldo_avg6	0.00207285950978675	0.00330410541246266	0.0039828431372549
mrentabilidad	0.00204479745123725	0.00192175499894085	0.0039828431372549
Master_fechaalta_lag1	0.00201718200835056	0.00247683767834879	0.0040594362745098
mcomisiones_avg6	0.00199200232372178	0.00253650211846385	0.00459558823529412
ccomisiones_otras_tend6	0.00199039154247892	0.00302716641655206	0.00459558823529412
chomebanking_trx	0.00198506690362698	0.00335051828912352	0.0039828431372549
cliente_antiguedad	0.00197980911581399	0.0018775189470016	0.00451899509803922
cprestamos_personales_avg6	0.00195586486616358	0.00171360328300317	0.00168504901960784
ctransferencias_recibidas_tend6	0.00193524511398874	0.00470172981590946	0.00520833333333333
mpayroll_avg6	0.00193006026966681	0.00240969397728674	0.00168504901960784
Visa_mlimitecompra_avg6	0.00190528977739376	0.00191063832488088	0.00390625
ctarjeta_debito_trx	0.00190415789730304	0.00122258920616153	0.000995710784313725
Visa_mlimitecompra	0.00189663102220288	0.00209119897808716	0.0038296568627451
ctransferencias_recibidas_avg6	0.00187796497561118	0.00240899060747739	0.00459558823529412
Master_mfinanciacion_limite	0.00187619561197791	0.00245916479708215	0.00451899509803922
mrentabilidad_tend6	0.00187352152248348	0.00259624185155309	0.00444240196078431
mcomisiones_tend6	0.00187174194999821	0.0010976462339775	0.00337009803921569
Visa_status_avg6	0.00185744781754387	0.00368888491505067	0.00145526960784314
ccomisiones_otras_avg6	0.00185087302021935	0.00260946386966299	0.00428921568627451
ctransferencias_emitidas_avg6	0.00184664087439027	0.00228280482468172	0.00298713235294118
Visa_msaldopesos	0.00183036363279406	0.002201913484304	0.00229779411764706
Visa_cconsumos_avg6	0.00181497255331237	0.00294049991444026	0.00390625
cmobile_app_trx_avg6	0.00180712995234813	0.00347101421045331	0.00497855392156863
mcaja_ahorro_dolares_tend6	0.00180137424649229	0.00113553813803608	0.00260416666666667
cprestamos_personales_tend6	0.0017969591185552	0.00147786098087191	0.000919117647058824
mcomisiones_mantenimiento	0.00179436703215513	0.00493335340173841	0.00283394607843137
Visa_cconsumos_tend6	0.00175357057157871	0.00138781916144329	0.00444240196078431
mpasivos_margen_tend6	0.00171183854061707	0.00560753765284053	0.00444240196078431
cmobile_app_trx_tend6	0.00170607044540955	0.00206084256643729	0.00413602941176471
mcomisiones	0.00170298143042674	0.00170532439160898	0.00306372549019608
mcaja_ahorro_tend6	0.00169791163266003	0.0019298661490255	0.00428921568627451
chomebanking_trx_lag1	0.00169515501645632	0.000845679725525696	0.0037530637254902
mtransferencias_recibidas_lag1	0.00168045307873412	0.00351247728886911	0.00390625
Master_mfinanciacion_limite_avg6	0.00167057611234081	0.00111286446897858	0.00413602941176471
chomebanking_trx_delta1	0.00166950334542417	0.00354286658162795	0.00359987745098039
ctrx_quarter_lag1	0.00166820916929235	0.00179149767708618	0.0038296568627451
Visa_msaldopesos_tend6	0.00165157401436675	0.0023662146673917	0.00359987745098039
mpasivos_margen_avg6	0.00165101630876003	0.00211643975633366	0.0040594362745098
Visa_mconsumosdolares_avg6	0.0016471421549255	0.00161801075114954	0.00298713235294118
mdescubierto_preacordado_delta1	0.00164504510176967	0.00363375282605805	0.000612745098039216
thomebanking_avg6	0.00163645245644451	0.00153483727119393	0.00252757352941177
ccaja_ahorro	0.00163614076462774	0.00259056247391906	0.00153186274509804
Visa_Fvencimiento_tend6	0.00162427201011387	0.0019939819288351	0.00390625
mactivos_margen_lag1	0.00161097548514515	0.00187210214170155	0.0037530637254902
Visa_mfinanciacion_limite	0.00160996182484716	0.00188626341583736	0.00329350490196078
ctrx_quarter_avg6	0.00159821639250345	0.00228475767663207	0.0037530637254902
mcaja_ahorro_dolares_avg6	0.001590916982606	0.00170894846166325	0.0037530637254902
mprestamos_personales_delta1	0.00154501229715569	0.00570745571840653	0.00222120098039216
Master_fultimo_cierre_tend6	0.00152829323642237	0.00439801225423558	0.00367647058823529
Visa_mlimitecompra_lag1	0.00152323834693106	0.00168824241722825	0.00367647058823529
mpasivos_margen_delta1	0.00152119033985846	0.00145939609376304	0.00367647058823529
mrentabilidad_lag1	0.00151946314812136	0.000874811911538557	0.0040594362745098
cproductos	0.00151894965642705	0.00281046799497029	0.00252757352941177
Visa_mfinanciacion_limite_avg6	0.00151666677569718	0.00188418904674515	0.00344669117647059
Master_mlimitecompra	0.0014871459165682	0.00146367111446743	0.00329350490196078
ccallcenter_trx_avg6	0.00148698383644655	0.00275804931227471	0.00359987745098039
mpayroll_delta1	0.00143120054595046	0.00478158802231247	0.00237438725490196
mtransferencias_emitidas_avg6	0.00141404511569035	0.00189649372956847	0.00291053921568627
mcuenta_debitos_automaticos	0.00140534830869062	0.0026289842880237	0.00222120098039216
ccomisiones_mantenimiento_avg6	0.00139827026580779	0.00362812682065887	0.00268075980392157
Visa_Fvencimiento_lag1	0.00139362018390942	0.00178707254697126	0.00359987745098039
mcomisiones_otras_lag1	0.0013836211199821	0.000789749912237104	0.00321691176470588
Visa_mpagospesos_tend6	0.00138165590798167	0.00202448177836614	0.00359987745098039
mcuenta_corriente_delta1	0.00136978004881643	0.0025794972659427	0.00260416666666667
Visa_mconsumospesos_tend6	0.00131968592861727	0.00131636803510569	0.00337009803921569
cliente_antiguedad_lag1	0.00128885293844531	0.00210159179121189	0.00344669117647059
cpayroll_trx_avg6	0.00126407579732809	0.00278920821359866	0.00122549019607843
mcaja_ahorro_dolares	0.00126304905239319	0.00310911376471943	0.00260416666666667
Visa_mpagospesos_avg6	0.00124577066768154	0.00193369798956546	0.00314031862745098
